SheetNo.,PersonalName,Item Code,Item Name,Shelf Code,WhN,Typ,BT,Stock Indicator,Stock Removal,Stock Placement,Sto Location,Group No,Group Name,Sec,Empty,Scan Date,Scan Time
46GVY01RW9,Moahmoud Emara,343627,SIMILAC NEOSURE 370GM MILK POWD.+,051AC-1S-2,WHC,TCH,S,HVL,RCH,PCH,SLCH,8,غوالي,51,X,11/09/2026,18:03:48
46GVY01RW9,Moahmoud Emara,2706853,MELATEX R.ON DEO.(ROSE+ORIGNAL)40M2+2@#,017E-1P-01,WHC,TCG,P,GR1,RCG,PCG,SLCG,13,ورقيات,17,X,11/09/2026,18:07:06
46GVY01RW9,Moahmoud Emara,2708769,STARVILLE WH.(CLEN.200+R.ON 60+GEL 60)@,017E-1P-01,WHC,TCG,P,GR1,RCG,PCG,SLCG,13,ورقيات,17,X,11/09/2026,18:07:15
46GVY01RW9,Moahmoud Emara,3201025,NESTOGEN (1) 400GM MILK POWD.+,,,,,,,,,,,,,,
46GVY01RW9,Moahmoud Emara,3203267,JOY DROPS (LUBRICANT)CHERRY 100M LIQ.+▓,,,,,,,,,,,,,,
46GVY01RW9,Moahmoud Emara,3205989,NOVEX CALAMINE(SOOTH.MOIST)100ML LOTION▓,,,,,,,,,,,,,,
46GVY01RW9,Moahmoud Emara,3205990,GOLD T (IUD) LOOP+▓,,,,,,,,,,,,,,
46GVY01RW9,Moahmoud Emara,3208794,LUBREX FEEL MANGO LUBRICANT 100GM GEL▓,,,,,,,,,,,,,,
46GVY01RW9,Moahmoud Emara,3209566,SEKEM COLLAGED (10GM/SAC)ORANGE 10/SACH▓,,,,,,,,,,,,,,
46GVY01RW9,Moahmoud Emara,3210449,MAZORASLIM STEVIA Z.C.SW(1G/SAC)50/SACH▓,,,,,,,,,,,,,,
46GVY01RW9,Moahmoud Emara,3210749,LIMITLESS ALPHA WHEY PRO.CONC.STRAW.1KG▓,,,,,,,,,,,,,,
46GVY01RW9,Moahmoud Emara,3210769,LIMITLESS ALPHA WHEY PRO.ISO.BANANA 2KG▓,,,,,,,,,,,,,,
46GVY01RW9,Moahmoud Emara,3211973,RENU 120ML LENSES SOLU.+(270LE)@,,,,,,,,,,,,,,
46GVY01RW9,Moahmoud Emara,3702569,SQUARE BACK SUPPORT CUSHION▓,,,,,,,,,,,,,,
46GVY01RW9,Moahmoud Emara,3702789,MEDICOM FEEDING BAG1200M ENTER(L)523331▓,,,,,,,,,,,,,,
46GVY01RW9,Moahmoud Emara,3703129,PHARMATULL PARAF.GAUZE DRES.10X10CM1PCS▓,,,,,,,,,,,,,,
46GVY01RW9,Moahmoud Emara,79400352934,DOVE AD.CA.BEA.FINISH 72H DEO.STICK 74G!,,,,,,,,,,,,,,
46GVY01RW9,Moahmoud Emara,196007699949,COMFY FOAM OFFICE&CAR SEAT B.SUPPORT\PL▓,,,,,,,,,,,,,,
46GVY01RW9,Moahmoud Emara,762497127690,RESELIENCE GOLD COND.F/DRY&DAMA.HR 300M,,,,,,,,,,,,,,
46GVY01RW9,Moahmoud Emara,3014260101299,ORAL B C.CROSS MAX GUM CARE EX.SOFT 2PCS,,,,,,,,,,,,,,
46GVY01RW9,Moahmoud Emara,3504105037864,MUSTELA CLEANSING WIPES 60PCS,,,,,,,,,,,,,,
46GVY01RW9,Moahmoud Emara,3662361003594,SEBIACLEAR HYDRA A.MARK REPAIR.MOIST.40M,,,,,,,,,,,,,,
46GVY01RW9,Moahmoud Emara,4001669418188,RITEX FEELING CONDOMS 8/PCS▓,,,,,,,,,,,,,,
46GVY01RW9,Moahmoud Emara,4006293050346,CREDO FILING RASP FLAT R.ST.STEEL/03510#,,,,,,,,,,,,,,
46GVY01RW9,Moahmoud Emara,4211125651893,BEURER ARM B.PR.MON.W/CUFF(LIMITED)BM27▓,,,,,,,,,,,,,,
46GVY01RW9,Moahmoud Emara,4897110031323,KARSEELL M.P.A.HR LOSS SHAMP.500M,,,,,,,,,,,,,,
46GVY01RW9,Moahmoud Emara,4897110031330,KARSEELL M.P.A.HR LOSS COND.500M,,,,,,,,,,,,,,
46GVY01RW9,Moahmoud Emara,5201263838606,SANI SENS.UNSC.BEDPADS MAXI (90X60CM)30P,,,,,,,,,,,,,,
46GVY01RW9,Moahmoud Emara,6221155135186,DOVE INTENSIVE REPAI.SHAMP.350M D.15LE@#,,,,,,,,,,,,,,
46GVY01RW9,Moahmoud Emara,6221155215604,LUX SOFT ROSE 2X MOIST.B.WASH 500M 10%@,,,,,,,,,,,,,,
46GVY01RW9,Moahmoud Emara,6221155609649,LUX ROMANT.HIBISCUS 30H B.WASH 250M 15%@,,,,,,,,,,,,,,
46GVY01RW9,Moahmoud Emara,6222004198383,MIGOS SUPER LOOFAH BODY&BACK /41219#,,,,,,,,,,,,,,
46GVY01RW9,Moahmoud Emara,6222004199854,MIGOS SUPER LOOFAH BODY&BACK /41173@#,,,,,,,,,,,,,,
46GVY01RW9,Moahmoud Emara,6222022110671,PRIVATE EXTRA THIN NIGHT W/WINGS 14PCS@,,,,,,,,,,,,,,
46GVY01RW9,Moahmoud Emara,6222022114099,PRIVATE MAXI POCKE.NIGHT WINGS 48PC 30%@,,,,,,,,,,,,,,
46GVY01RW9,Moahmoud Emara,6223004371684,EGYPTIAN TRE.CASTOR OIL COND.BAR 100G#,,,,,,,,,,,,,,
46GVY01RW9,Moahmoud Emara,6223004371745,EGYPTIAN TRE.HIBISCUS EXT.SHAMP.BAR100G#,,,,,,,,,,,,,,
46GVY01RW9,Moahmoud Emara,6223004791796,SOFY SOFT&LUM.F.MUSK MAXI TH.EX.LONG14P,,,,,,,,,,,,,,
46GVY01RW9,Moahmoud Emara,6223009500027,YARA REPAIRING HAIR SERUM F/A.TYPE 150M,,,,,,,,,,,,,,
46GVY01RW9,Moahmoud Emara,6224000851453,VATIKA ALMOND&HONEY MOIST.TREA.COND.360M,,,,,,,,,,,,,,
46GVY01RW9,Moahmoud Emara,6224001455674,VACATION COPPER PEPTIDE SERUM 10% 30M,,,,,,,,,,,,,,
46GVY01RW9,Moahmoud Emara,6224001714221,KOLAGRA MKAEUP PERFEC.CONCEAL.MEDIUM10M,,,,,,,,,,,,,,
46GVY01RW9,Moahmoud Emara,6224003260214,EVER YOUTH A.DAND SHAMP.200M,,,,,,,,,,,,,,
46GVY01RW9,Moahmoud Emara,6224003275089,DENTI VIVE WOODEN TOOTH STICKS 250PCS,,,,,,,,,,,,,,
46GVY01RW9,Moahmoud Emara,6224003275461,JOYREX (STRAWBERRY) MOIST.GEL 75ML2PCS@▓,,,,,,,,,,,,,,
46GVY01RW9,Moahmoud Emara,6224008073031,BOBAI SUNSCREE.SPF(80)TINTED CR 75/60GM#,,,,,,,,,,,,,,
46GVY01RW9,Moahmoud Emara,6224008762102,YOLO N.POLISH 10M/196,,,,,,,,,,,,,,
46GVY01RW9,Moahmoud Emara,6224008762386,YOLO N.POLISH 10M/223,,,,,,,,,,,,,,
46GVY01RW9,Moahmoud Emara,6224008838760,OXYGEN O-KERATIN FORTIFYING NAIL CR 20M,,,,,,,,,,,,,,
46GVY01RW9,Moahmoud Emara,6224009338399,ELLE NAIL POLISH 14M/708,,,,,,,,,,,,,,
46GVY01RW9,Moahmoud Emara,6224010497924,ALEJON A.DAND.LOT.150M,,,,,,,,,,,,,,
46GVY01RW9,Moahmoud Emara,6225000561915,TRUFFLES EXTRA NATURAL HR SHAMP.380M,,,,,,,,,,,,,,
46GVY01RW9,Moahmoud Emara,6225000561977,TRUFFLES MON BLEU A.DAND.SHAMP.200M,,,,,,,,,,,,,,
46GVY01RW9,Moahmoud Emara,6225000659162,SKINISTA HYDR.BOOST F/VER.DRY SK CR100G#,,,,,,,,,,,,,,
46GVY01RW9,Moahmoud Emara,6251001239133,FINE CARE ADULT DIAPER(L)(110-156)CM36P#,,,,,,,,,,,,,,
46GVY01RW9,Moahmoud Emara,6281006602755,TRESEMME PRO CURLS HR COND.250M#,,,,,,,,,,,,,,
46GVY01RW9,Moahmoud Emara,6291108642528,CLOUD WOODY CLOUD HR&B.MIST 250M,,,,,,,,,,,,,,
46GVY01RW9,Moahmoud Emara,6294008903935,FULLA FLORAL GIRL PERFUM.F/GIRL30M+GIFT#,,,,,,,,,,,,,,
46GVY01RW9,Moahmoud Emara,6624000807076,TELOFILL MICELLAR WATER CLEAN.SK.250M#,,,,,,,,,,,,,,
46GVY01RW9,Moahmoud Emara,6772304518065,BUBBLES NATURAL BOTTLE W.HAND(4)M 150M,,,,,,,,,,,,,,
46GVY01RW9,Moahmoud Emara,6805699997341,SENSODYNE HERBAL FRESH T.PASTE 75M#,,,,,,,,,,,,,,
46GVY01RW9,Moahmoud Emara,6941607307564,UNDERWATER ADHESIVE REPAIR PATCH/62091,,,,,,,,,,,,,,
46GVY01RW9,Moahmoud Emara,6942138919356,P.E.HYDRO SWIM BUD.FISH SWIM CAP/26025™,,,,,,,,,,,,,,
46GVY01RW9,Moahmoud Emara,8001090153296,PANTENE PRO-V MOIST.RENEW.OIL REPLA.275M,,,,,,,,,,,,,,
46GVY01RW9,Moahmoud Emara,8809052588519,PUREDERM EXFOLIA.FOOT MASK 1PAIR/ADS353!,,,,,,,,,,,,,,
46GVY01RW9,Moahmoud Emara,8904117400314,TULIPS COTTON SWABS 100PCS,,,,,,,,,,,,,,
