Stor. Bin,WhN,Typ,Sec,BT,Empty,Group No,Group Name
005A-1S-01,WHC,TCG,005,S,X,NU,Not Used
005A.1P.01,WHC,TCG,005,P,X,NU,Not Used
005A.1P.02,WHC,TCG,005,P,X,NU,Not Used
005A.1P.03,WHC,TCG,005,P,X,NU,Not Used
005A.2P.01,WHC,TCG,005,P,X,NU,Not Used
005A.2P.02,WHC,TCG,005,P,X,NU,Not Used
005A.2P.03,WHC,TCG,005,P,X,NU,Not Used
005A.3P.01,WHC,TCG,005,P,X,NU,Not Used
005A.3P.02,WHC,TCG,005,P,X,NU,Not Used
005A.3P.03,WHC,TCG,005,P,X,NU,Not Used
005B.1P.01,WHC,TCG,005,P,X,NU,Not Used
005B.1P.02,WHC,TCG,005,P,X,NU,Not Used
005B.1P.03,WHC,TCG,005,P,X,NU,Not Used
005B.2P.01,WHC,TCG,005,P,X,NU,Not Used
005B.2P.02,WHC,TCG,005,P,X,NU,Not Used
005B.2P.03,WHC,TCG,005,P,X,NU,Not Used
005B.3P.01,WHC,TCG,005,P,X,NU,Not Used
005B.3P.02,WHC,TCG,005,P,X,NU,Not Used
005B.3P.03,WHC,TCG,005,P,X,NU,Not Used
005C.1P.01,WHC,TCG,005,P,X,NU,Not Used
005C.1P.02,WHC,TCG,005,P,X,NU,Not Used
005C.1P.03,WHC,TCG,005,P,X,NU,Not Used
005C.2P.01,WHC,TCG,005,P,X,NU,Not Used
005C.2P.02,WHC,TCG,005,P,X,NU,Not Used
005C.2P.03,WHC,TCG,005,P,X,NU,Not Used
005C.3P.01,WHC,TCG,005,P,X,NU,Not Used
005C.3P.02,WHC,TCG,005,P,X,NU,Not Used
005C.3P.03,WHC,TCG,005,P,X,NU,Not Used
005D.1P.01,WHC,TCG,005,P,X,NU,Not Used
005D.1P.02,WHC,TCG,005,P,X,NU,Not Used
005D.1P.03,WHC,TCG,005,P,X,NU,Not Used
005D.2P.01,WHC,TCG,005,P,X,NU,Not Used
005D.2P.02,WHC,TCG,005,P,X,NU,Not Used
005D.2P.03,WHC,TCG,005,P,X,NU,Not Used
005D.3P.01,WHC,TCG,005,P,X,NU,Not Used
005E.3P.03,WHC,TCG,005,P,X,NU,Not Used
005F.1P.01,WHC,TCG,005,P,X,NU,Not Used
005F.1P.02,WHC,TCG,005,P,X,NU,Not Used
005F.1P.03,WHC,TCG,005,P,X,NU,Not Used
005F.2P.01,WHC,TCG,005,P,X,NU,Not Used
005F.2P.02,WHC,TCG,005,P,X,NU,Not Used
005F.2P.03,WHC,TCG,005,P,X,NU,Not Used
005F.3P.01,WHC,TCG,005,P,X,NU,Not Used
005F.3P.02,WHC,TCG,005,P,X,NU,Not Used
005F.3P.03,WHC,TCG,005,P,X,NU,Not Used
005G.1P.01,WHC,TCG,005,P,X,NU,Not Used
005G.1P.02,WHC,TCG,005,P,X,NU,Not Used
005G.1P.03,WHC,TCG,005,P,X,NU,Not Used
005G.2P.01,WHC,TCG,005,P,X,NU,Not Used
005G.2P.02,WHC,TCG,005,P,X,NU,Not Used
005G.2P.03,WHC,TCG,005,P,X,NU,Not Used
005G.3P.01,WHC,TCG,005,P,X,NU,Not Used
005G.3P.02,WHC,TCG,005,P,X,NU,Not Used
005G.3P.03,WHC,TCG,005,P,X,NU,Not Used
GARD,WHC,TCG,005,S,X,NU,Not Used
006A.1P.01,WHC,TCG,006,P,X,NU,Not Used
006A.1P.02,WHC,TCG,006,P,X,NU,Not Used
006A.1P.03,WHC,TCG,006,P,X,NU,Not Used
006A.2P.01,WHC,TCG,006,P,X,NU,Not Used
006A.2P.02,WHC,TCG,006,P,X,NU,Not Used
006A.2P.03,WHC,TCG,006,P,X,NU,Not Used
006A.3P.01,WHC,TCG,006,P,X,NU,Not Used
006A.3P.02,WHC,TCG,006,P,X,NU,Not Used
006A.3P.03,WHC,TCG,006,P,X,NU,Not Used
006B.1P.01,WHC,TCG,006,P,X,NU,Not Used
006B.1P.02,WHC,TCG,006,P,X,NU,Not Used
006B.1P.03,WHC,TCG,006,P,X,NU,Not Used
006B.2P.01,WHC,TCG,006,P,X,NU,Not Used
006B.2P.02,WHC,TCG,006,P,X,NU,Not Used
006B.2P.03,WHC,TCG,006,P,X,NU,Not Used
006B.3P.01,WHC,TCG,006,P,X,NU,Not Used
006B.3P.02,WHC,TCG,006,P,X,NU,Not Used
006B.3P.03,WHC,TCG,006,P,X,NU,Not Used
006C.1P.01,WHC,TCG,006,P,X,NU,Not Used
006C.1P.02,WHC,TCG,006,P,X,NU,Not Used
006C.1P.03,WHC,TCG,006,P,X,NU,Not Used
006C.2P.01,WHC,TCG,006,P,X,NU,Not Used
006C.2P.02,WHC,TCG,006,P,X,NU,Not Used
006C.2P.03,WHC,TCG,006,P,X,NU,Not Used
006C.3P.01,WHC,TCG,006,P,X,NU,Not Used
006C.3P.02,WHC,TCG,006,P,X,NU,Not Used
006C.3P.03,WHC,TCG,006,P,X,NU,Not Used
